"LOCALITY.ID","LATITUDE","LONGITUDE"
"L6643852",33.779688,-84.366895
"L3134883",34.0306116,-84.3102407
"L2597506",34.0037502,-84.3755794
"L2959498",34.0203325,-84.2326176
"L4995439",34.0363055,-84.1411972
"L5956688",34.0816525,-84.2365122
"L6649728",33.758114,-84.357396
"L798603",34.0459746,-84.2824745
"L685342",33.7836417,-84.3774891
"L6264223",33.861373,-84.3744957
"L5140614",33.7682136,-84.3650544
"L691521",33.7356894,-84.3711805
"L6661372",33.9941565,-84.3856178
"L668713",34.004772,-84.382195
"L6662094",34.0041872,-84.3826104
"L2334995",34.047432,-84.125834
"L5105293",34.1087038,-84.300127
"L6562845",34.0691879,-84.253606
"L2096771",33.9716234,-84.3798923
"L4185245",33.9242813,-84.3559273
"L1980423",33.773317,-84.364707
"L4340625",34.0851872,-84.4158125
"L6633305",33.933809,-84.368318
"L6681491",33.6586523,-84.4379899
"L5151553",33.8082051,-84.402498
"L5264465",33.9671121,-84.3821763
"L6683220",34.0764149,-84.2506399
"L5633573",33.644179,-84.459479
"L6693198",33.763006,-84.394591
"L6696095",33.7746777,-84.3863645
"L1769642",33.9632236,-84.3624902
"L2148884",33.9729046,-84.2658234
"L839848",33.7751432,-84.3999875
"L4340629",34.06457,-84.4027877
"L3654266",33.7666617,-84.3570668
"L5371091",34.0021633,-84.3714863
"L4070364",34.0144853,-84.3496293
"L6758379",34.0015842,-84.3691677
"L6761514",33.788672,-84.387604
"L3201780",33.5714079,-84.7138676
"L6266884",33.911426,-84.4437761
"L3959042",33.8634535,-84.3763277
"L6766204",33.854126,-84.370572
"L6762496",33.69266,-84.3742329
"L4018653",33.8176897,-84.3639225
"L6770959",33.8185151,-84.4782349
"L1916197",33.8057535,-84.3561172
"L6782143",33.823804,-84.385391
"L6783935",33.75839,-84.358587
"L6794623",34.019066,-84.266895
"L6795147",33.7956042,-84.3692938
"L6798693",34.017668,-84.278474
"L5295517",33.8146142,-84.360221
"L6804222",33.764539,-84.394238
"L6808957",34.01648,-84.266724
"L5376999",33.762863,-84.3601905
"L6810098",34.06789,-84.176202
"L6347812",33.7170579,-84.4785976
"L2988797",33.9943981,-84.3281794
"L6811890",34.020362,-84.269063
"L3082807",34.02127,-84.33955
"L6814170",33.7885872,-84.37379
"L4963030",34.0015271,-84.2976947
"L6825379",34.012295,-84.355432
"L6829456",33.783742,-84.373329
"L6661031",33.9024719,-84.350555
"L4123919",33.7876232,-84.411073
"L2026018",33.9756992,-84.2668319
"L6845797",33.7955597,-84.3690975
"L914689",33.8651774,-84.3802357
"L6854131",33.733781,-84.372996
"L6855666",34.0037909,-84.3830895
"L5277900",33.7752477,-84.3861858
"L2877051",34.1723286,-84.336462
"L6934421",34.015785,-84.313712
"L6934998",34.05506,-84.312698
"L6934948",33.7514446,-84.4265789
"L1947998",33.8872325,-84.4410896
"L6364002",33.8435622,-84.4079053
"L6967072",33.615371,-84.489833
"L4124030",33.8447723,-84.4373238
"L6971746",33.754091,-84.380076
"L3915548",33.76296,-84.36001
"L6504800",34.001412,-84.368305
"L7030468",34.0363783,-84.1412522
"L796074",33.7616402,-84.3927348
"L7012421",34.002874,-84.377976
"L9424680",33.7483545,-84.3727079
"L2588424",34.0473726,-84.2839162
"L6483925",33.785473,-84.361607
"L1788647",33.9671391,-84.3822243
"L7027747",34.0411698,-84.2971351
"L910643",33.7893664,-84.3740022
"L7032227",34.047759,-84.283926
"L7034449",33.76211,-84.394102
"L3970613",33.9224839,-84.3946043
"L7041338",34.044805,-84.284242
"L7051657",34.0805679,-84.237945
"L7061740",33.7571862,-84.3650034
"L7071442",33.7829409,-84.4038844
"L7071346",33.909,-84.37
"L7167422",33.7971235,-84.3645287
"L7071701",33.9,-84.37
"L4218384",33.6592101,-84.4235373
"L4441761",34.1718557,-84.3374448
"L7073333",33.9020699,-84.3505665
"L7075700",33.758235,-84.396048
"L5724201",33.7767886,-84.3752803
"L7081139",34.002743,-84.378187
"L7086570",33.9,-84.37
"L7086804",33.9,-84.37
"L6982470",34.155705,-84.317884
"L7094540",33.9,-84.37
"L7094979",33.9,-84.37
"L7095367",33.9,-84.37
"L7098829",33.729763,-84.435104
"L7099052",33.7842613,-84.3729902
"L4431415",33.846226,-84.373549
"L7103403",33.9,-84.37
"L7106471",33.5316369,-84.7070095
"L7106792",33.5840243,-84.6419593
"L3958963",33.5238838,-84.7382033
"L4226947",33.9542053,-84.3853593
"L7120014",33.758558,-84.358121
"L7133347",34.041994,-84.141219
"L3903641",34.0343431,-84.3135998
"L720310",34.0009981,-84.2394733
"L7154648",34.002627,-84.378156
"L861950",34.1163525,-84.3557739
"L7160914",33.748566,-84.372759
"L7071698",33.796586,-84.361154
"L7174981",33.7848937,-84.3762733
"L4493607",33.5274616,-84.7171745
"L5552223",34.0027947,-84.358778
"L7179177",34.062669,-84.336372
"L7180694",33.911989,-84.349824
"L7196855",34.0413429,-84.2999947
"L7201173",34.0124179,-84.3072367
"L3825935",33.7854028,-84.4038203
"L5277354",33.8127316,-84.4019401
"L1403008",34.0531994,-84.3433005
"L7211987",33.7752072,-84.3855146
"L7214384",33.774642,-84.378862
"L7215024",33.9,-84.37
"L7215047",33.9,-84.37
"L3836480",33.572565,-84.68784
"L7222052",33.66339,-84.370444
"L7226644",34.002268,-84.376786
"L7237932",33.659984,-84.431333
"L7245442",33.651797,-84.449215
"L7250396",33.562165,-84.692233
"L7251760",33.7762536,-84.3850536
"L7252732",34.1148,-84.27547
"L7257783",33.721072,-84.564806
"L5236316",33.729828,-84.350183
"L7274858",33.7749944,-84.385694
"L7274869",33.721767,-84.564276
"L7276723",33.73259,-84.370109
"L9138968",33.6554203,-84.669469
"L2747043",34.0139653,-84.3241882
"L7288109",33.761737,-84.392567
"L7290216",33.85693,-84.370433
"L7291818",33.9851085,-84.3000996
"L9153903",33.5218608,-84.7372128
"L7294719",33.972965,-84.356619
"L7295139",33.626478,-84.687804
"L7295327",33.7889221,-84.3734784
"L7296030",33.544308,-84.740893
"L5667486",33.530179,-84.707128
"L7297737",34.066718,-84.222
"L5431647",34.0089138,-84.3551838
"L2508226",33.87095,-84.380296
"L1839588",33.8769599,-84.3924385
"L2288448",33.8493712,-84.3649661
"L2513086",33.743303,-84.4525716
"L7295776",33.552016,-84.770095
"L7296872",33.52397,-84.682135
"L7294671",33.555114,-84.714745
"L7294695",33.56166,-84.692362
"L7299617",33.5443992,-84.7452199
"L7296558",33.531387,-84.715572
"L7297384",33.57267,-84.685869
"L7297765",33.550267,-84.778331
"L7300153",34.0625292,-84.1687296
"L6539406",34.0667304,-84.3414187
"L5954522",33.7557164,-84.358138
"L7312868",33.6580946,-84.4399386
"L7314554",33.9,-84.37
"L7315366",33.9,-84.37
"L7320767",33.8184522,-84.4102745
"L7323067",33.719414,-84.502434
"L7323717",33.790331,-84.382772
"L7326860",33.7839984,-84.4504881
"L7332417",33.9,-84.37
"L7332678",33.9,-84.37
"L2836036",34.010319,-84.3329322
"L2273007",33.9791893,-84.3098035
"L7280559",33.694802,-84.629676
"L7810487",33.660279,-84.648427
"L7343013",33.7938617,-84.3683581
"L10090700",33.7986803,-84.3592917
"L7358507",33.85,-84.35
"L7361569",33.8650313,-84.350652
"L6285633",33.8639658,-84.3591428
"L7363948",33.759245,-84.384043
"L123768",33.74901,-84.38803
"L7377893",33.5806243,-84.7047331
"L7391740",33.867213,-84.365026
"L7391753",33.832198,-84.42426
"L2846614",33.800733,-84.426971
"L7392938",34.0779283,-84.3352611
"L7394223",33.970734,-84.379243
"L7403936",33.8637306,-84.3497915
"L5805077",33.812807,-84.397771
"L2919405",33.804929,-84.416583
"L7426606",33.774847,-84.364425
"L2338232",33.5224885,-84.6834755
"L4584226",33.546887,-84.756006
"L7452556",33.7895023,-84.3734752
"L2196865",33.5650529,-84.7849596
"L7454490",33.9,-84.37
"L7458555",33.8155941,-84.4507934
"L7458552",33.9,-84.37
"L7463530",33.9,-84.37
"L7463855",34.072377,-84.265871
"L7465604",33.762359,-84.393847
"L4203189",34.0701483,-84.3080651
"L7476508",34.002475,-84.38206
"L5667264",33.6610305,-84.370017
"L7482039",33.9084805,-84.4365621
"L7496511",33.933248,-84.383416
"L7512806",33.8151732,-84.4036803
"L7518254",33.88587,-84.360217
"L7518976",34.081411,-84.245542
"L7408781",33.749484,-84.364003
"L7530547",33.9255423,-84.3517701
"L7533793",33.7342117,-84.3722618
"L7532968",34.150485,-84.312619
"L7530706",33.9239526,-84.3548992
"L7546358",34.031907,-84.362251
"L7570320",33.755762,-84.373715
"L7574516",33.654763,-84.426976
"L7617141",33.6176495,-84.4703034
"L7637048",33.669497,-84.4108772
"L7653699",33.826495,-84.383982
"L3948576",33.815185,-84.3617499
"L7666294",34.031451,-84.373984
"L7668240",33.82007,-84.385609
"L4904623",33.7672807,-84.3598851
"L7678319",34.0014858,-84.3672796
"L6065047",33.744487,-84.372353
"L7687815",33.773495,-84.429398
"L7693076",33.819651,-84.409187
"L7700343",34.004807,-84.381471
"L7703813",34.111026,-84.363884
"L6098048",33.8267152,-84.3616673
"L7703726",33.716621,-84.396661
"L7711875",33.7159659,-84.3962119
"L6098027",33.8320636,-84.3817087
"L7714250",33.7897406,-84.3742996
"L7757537",33.7570951,-84.3649648
"L7759231",34.088148,-84.274865
"L7761237",33.809436,-84.352415
"L1924921",33.6581173,-84.3671894
"L7811412",33.7908244,-84.3732117
"L7819750",33.773979,-84.3953
"L5227782",34.110029,-84.303054
"L7834692",34.0020895,-84.3725989
"L7842930",33.821391,-84.427743
"L7678799",34.003013,-84.377073
"L1484170",34.0387345,-84.3651964
"L7875178",33.814479,-84.397525
"L7772168",34.025214,-84.34111
"L6565959",34.028866,-84.368243
"L7969517",33.693321,-84.454374
"L7973835",33.7644665,-84.3961288
"L6227870",33.769293,-84.362388
"L7982757",34.048361,-84.314751
"L7982758",34.048751,-84.314176
"L7991972",33.988332,-84.3243051
"L1947086",34.0383646,-84.2661023
"L7994975",34.051388,-84.270328
"L8001193",33.653883,-84.426705
"L4526885",33.8418,-84.3863
"L8013825",33.737527,-84.464134
"L8014103",34.051471,-84.269542
"L7958791",34.060362,-84.288032
"L8021645",33.7989516,-84.3542963
"L8035191",34.107045,-84.302881
"L8043575",34.052483,-84.2704887
"L8050474",34.002312,-84.37638
"L8052378",33.9661914,-84.2644978
"L8053144",33.527274,-84.743376
"L8054265",33.9882543,-84.323693
"L8062089",33.544235,-84.575552
"L8076658",33.863736,-84.375916
"L8080709",33.818694,-84.409718
"L8081091",34.034117,-84.30593
"L8084245",33.6592465,-84.4292867
"L8097858",33.7482166,-84.4098186
"L8104184",33.865221,-84.380525
"L8104955",33.684849,-84.430158
"L8105468",33.8098977,-84.3523776
"L7909521",33.800539,-84.360547
"L5232448",33.7129669,-84.412974
"L8146510",33.65326,-84.402015
"L8149594",33.652697,-84.400422
"L7720807",33.759865,-84.354036
"L8838283",33.9941903,-84.3855935
"L8174772",33.701481,-84.372391
"L5890746",34.006299,-84.3431193
"L5609022",34.0369166,-84.141016
"L8217161",33.9658047,-84.3652756
"L8228810",33.987206,-84.32749
"L8233027",33.8639066,-84.3799848
"L8268043",33.771057,-84.42571
"L5174377",33.756654,-84.45394
"L8275202",33.773104,-84.42952
"L8275694",33.937981,-84.37291
"L8275594",33.7924093,-84.4515111
"L8278693",34.033485,-84.31344
"L8278711",34.0172865,-84.3579683
"L8278734",34.013161,-84.364121
"L8278757",34.012274,-84.365704
"L8278770",34.0181931,-84.3527781
"L8278994",34.070053,-84.336063
"L8278995",33.991856,-84.258259
"L6561971",34.009969,-84.332515
"L8279468",33.9941824,-84.3764748
"L8279562",34.01658,-84.225416
"L8279698",33.999019,-84.247949
"L8279761",33.9675182,-84.3664367
"L4067351",34.1350842,-84.3561521
"L8279959",34.0838955,-84.256325
"L6563137",34.0816634,-84.2714728
"L8280346",34.0533171,-84.3428891
"L8281095",34.088766,-84.296237
"L8281099",34.151559,-84.312021
"L8281100",34.109968,-84.332307
"L8281093",34.124188,-84.309036
"L8281102",34.130516,-84.322954
"L8278814",34.002897,-84.35709
"L8278698",34.077558,-84.33524
"L8281098",34.092216,-84.282597
"L6614457",33.890796,-84.40664
"L8279605",34.106898,-84.378091
"L8279177",34.069962,-84.336621
"L8289990",34.0023255,-84.3726159
"L8279339",34.0007896,-84.3591261
"L8278819",33.946488,-84.3835436
"L8291882",34.0024568,-84.3733156
"L8295999",34.031128,-84.20223
"L7955194",33.8369023,-84.4310959
"L8299881",34.145838,-84.277552
"L8304034",33.740568,-84.361725
"L8279865",34.091728,-84.251556
"L6562147",34.0674604,-84.2185712
"L8280587",34.0585757,-84.2304363
"L1425214",34.0035051,-84.3698565
"L8321018",33.656626,-84.467984
"L8327233",33.653865,-84.402654
"L8335672",33.7302522,-84.360074
"L8401264",33.784671,-84.370861
"L8278923",34.062055,-84.334698
"L8281101",34.138803,-84.342836
"L7040382",33.76171,-84.393066
"L12769115",33.991938,-84.328507
